student_id,student_name,parent_name,parent_email,address,gender,age,attendance_rate,study_hours_weekly,previous_grades,assignment_completion,class_participation,extra_curricular,library_visits,online_resource_hours,parent_education,family_income,internet_access,tutoring,mentor_support,stress_level,motivation_score,final_grade,performance_category,pass_fail,last_reported_at,reported_by,counselor_reported,added_by,created_at,updated_at
1,Thangjam Bobo,Thangjam Ibohal,parent1@example.com,123 Main St,Imphal,Male,20,59.33,2.1,66.64,51.49,5.0,Yes,0,10.6,Master,Medium,Yes,No,No,5.1,7.1,96.53,Excellent,,,,Pass,,2026-03-26 00:33:49
2,Thangjam Thoibi,Thangjam Sanalembi,parent2@example.com,45 Park Ave,Imphal,Female,15,98.65,0.5,94.51,34.0,6.0,Yes,6,12.0,Bachelor,Low,Yes,Yes,No,1.1,9.8,111.81,Excellent,,,,Pass,,2026-03-26 00:33:49
3,Laishram Romen,Laishram Devi,parent3@example.com,78 School Rd,Imphal,Male,23,52.05,6.4,86.85,54.01,9.5,No,2,18.7,High School,High,Yes,Yes,No,4.6,5.3,91.96,Excellent,,,,Pass,,2026-03-26 00:33:49
4,Oinam Suresh,Oinam Binata,parent4@example.com,23 College St,Imphal,Male,15,81.59,6.3,87.76,76.69,2.9,Yes,4,15.5,Bachelor,Medium,Yes,No,No,6.3,2.5,72.31,Average,,,,Pass,,2026-03-26 00:33:49
5,Konsam Ibomcha,Konsam Onita,parent5@example.com,56 Market Rd,Imphal,Male,19,89.29,1.9,85.65,37.18,5.7,No,4,3.0,Master,Medium,No,No,No,6.1,1.9,62.69,Below Average,,,,Pass,,2026-03-26 00:33:49
6,Laishram Sanatombi,Laishram Bimola,parent6@example.com,34 Hospital Rd,Imphal,Female,18,42.47,4.4,52.66,30.83,5.3,No,7,3.5,High School,Low,Yes,No,No,7.7,3.4,45.75,At Risk,,,,Fail,,2026-03-26 00:33:49
7,Yumnam Tomba,Yumjam Indira,parent7@example.com,67 Library Ln,Imphal,Male,17,80.22,8.5,83.56,39.78,3.3,No,2,2.0,Master,Medium,Yes,No,No,7.0,6.1,94.95,Excellent,,,,Pass,,2026-03-26 00:33:49
8,Ningthoujam Deven,Ningthoujam Leela,parent8@example.com,89 Sports Complex,Imphal,Male,20,97.09,3.6,40.02,80.1,8.4,No,8,14.8,PhD,High,Yes,No,No,3.5,9.5,98.16,Excellent,,,,Pass,,2026-03-26 00:33:49
9,Sorokhaibam Biren,Sorokhaibam Radha,parent9@example.com,21 Tech Park,Imphal,Male,16,47.45,9.5,76.04,98.1,9.1,No,3,14.1,PhD,Low,No,Yes,Yes,3.3,3.7,106.18,Excellent,,,,Pass,,2026-03-26 00:33:49
10,Oinam Ibemhal,Oinam Devi,parent10@example.com,12 University Rd,Imphal,Female,17,93.77,5.6,74.91,98.81,8.0,No,4,19.7,Bachelor,Medium,No,Yes,No,5.2,3.7,83.64,Average,,,,Pass,,2026-03-26 00:33:49
11,Thounaojam Sanjit,Thounaojam Bijoya,parent11@example.com,34 Govt Colony,Imphal,Male,19,75.69,4.4,31.79,64.58,2.8,No,4,10.4,Master,Low,Yes,Yes,No,7.6,5.3,76.58,Average,,,,Pass,,2026-03-26 00:33:49
12,Wangkhem Ranjit,Wangkhem Ongbi,parent12@example.com,78 Industrial Area,Imphal,Male,23,77.0,5.7,85.16,90.85,1.8,Yes,5,16.5,PhD,High,Yes,No,Yes,1.8,9.3,114.54,Excellent,,,,Pass,,2026-03-26 00:33:49
13,Pukhrambam Priyokumar,Pukhrambam ongbi,parent13@example.com,45 Residential Area,Imphal,Male,16,76.78,4.2,93.23,81.58,6.4,No,1,11.5,Bachelor,Low,Yes,No,Yes,9.5,4.8,71.15,Average,,,,Pass,,2026-03-26 00:33:49
14,Heisnam Kiran,Heisnam Bimola,parent14@example.com,23 Market Complex,Imphal,Male,24,57.93,2.4,48.72,65.07,1.5,No,3,17.5,High School,High,Yes,No,No,5.9,3.0,43.28,At Risk,,,,Fail,,2026-03-26 00:33:49
15,Konsam Tombi,Konsam Leima,parent15@example.com,56 Educational Zone,Imphal,Female,22,96.11,2.3,86.87,70.09,7.1,Yes,2,14.4,High School,Medium,Yes,Yes,No,3.8,2.5,92.85,Excellent,,,,Pass,,2026-03-26 00:33:49
16,Lourembam Ibungo,Lourembam Ongbi,parent16@example.com,67 Sports Village,Imphal,Male,16,96.84,8.6,35.77,39.61,5.8,Yes,1,12.9,High School,Medium,Yes,No,Yes,7.2,5.1,77.69,Average,,,,Pass,,2026-03-26 00:33:49
17,Yumnam Bembem,Yumnam Indira,parent17@example.com,89 Tech Hub,Imphal,Female,19,77.52,7.9,72.0,95.64,7.0,No,2,11.3,Master,Medium,No,Yes,No,1.4,8.2,109.37,Excellent,,,,Pass,,2026-03-26 00:33:49
18,Ningthoujam Sanalembi,Ningthoujam Devi,parent18@example.com,21 Business Park,Imphal,Female,21,87.01,6.8,64.0,54.64,6.3,Yes,3,14.5,Bachelor,Low,Yes,Yes,No,5.4,3.6,91.11,Excellent,,,,Pass,,2026-03-26 00:33:49
19,Sorokhaibam Ibungo,Sorokhaibam Leima,parent19@example.com,34 Research Center,Imphal,Female,22,76.74,4.2,68.21,61.23,4.8,No,7,8.4,Master,Medium,No,Yes,Yes,5.4,5.6,91.11,Excellent,,,,Pass,,2026-03-26 00:33:49
20,Kshetrimayum Bishwajit,,,,Male,15,69.06,7.4,94.83,77.02,2.8,No,4,1.9,Master,Medium,Yes,No,Yes,2.5,6.4,90.91,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
21,Thounaojam Priyabala,,,,Female,20,79.65,3.4,90.99,53.37,3.8,Yes,1,0.8,Bachelor,Low,Yes,Yes,No,8.5,5.1,91.86,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
22,Moirangthem Somorjit,,,,Male,15,73.18,6.3,84.96,47.8,5.7,No,1,9.6,Bachelor,High,Yes,No,No,8.2,2.7,74.84,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
23,Wangkhem Ongbi,,,,Female,16,75.85,4.7,49.16,74.17,6.9,Yes,1,12.0,High School,Low,Yes,No,No,2.4,9.3,72.06,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
24,Pukhrambam Reena,,,,Female,15,87.03,8.7,93.83,31.75,8.0,No,4,1.6,Master,Medium,Yes,Yes,No,4.3,6.1,100.05,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
25,Heisnam Sunita,,,,Female,19,68.85,13.5,36.83,80.45,7.9,Yes,6,5.7,Bachelor,Medium,Yes,No,Yes,1.9,7.6,118.14,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
26,Lourembam Sharmila,,,,Female,24,42.45,2.6,89.73,65.98,9.8,No,6,6.4,Bachelor,Low,No,Yes,No,8.6,6.7,80.34,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
27,Kshetrimayum Ibemhal,,,,Female,23,49.84,5.5,52.97,72.4,3.6,Yes,0,11.3,High School,Medium,Yes,Yes,No,3.9,10.0,87.63,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
28,Moirangthem Memchoubi,,,,Female,20,66.32,18.7,33.76,74.23,1.6,Yes,8,5.6,PhD,Medium,Yes,Yes,No,5.0,5.1,107.17,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
29,Naorem Bembem,,,,Female,15,83.49,4.4,76.85,66.89,4.1,Yes,3,1.9,PhD,Medium,Yes,No,No,3.9,4.8,90.28,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
30,Akoijam Sanalembi,,,,Female,15,75.6,4.4,46.19,70.78,7.7,Yes,4,3.3,Bachelor,Medium,No,No,Yes,3.8,4.2,95.45,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
31,Naorem Dinesh,,,,Male,16,79.02,10.7,47.05,77.87,4.9,Yes,2,3.5,Bachelor,Low,Yes,No,No,7.7,4.3,79.92,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
32,Akoijam Sanatomba,,,,Male,23,68.76,5.7,51.42,82.72,8.4,Yes,2,16.9,Master,High,Yes,Yes,Yes,7.7,3.5,101.34,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
33,Chongtham Thoibi,,,,Female,17,76.94,6.4,34.46,80.92,5.9,Yes,2,5.7,High School,Medium,Yes,No,Yes,5.7,9.8,87.4,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
34,Wahengbam Sanatombi,,,,Female,15,59.74,14.3,42.4,90.87,9.4,No,0,14.3,High School,Low,Yes,No,No,6.9,8.8,79.41,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
35,Sagolsem Ibemhal,,,,Female,19,68.21,8.4,30.36,43.26,9.5,No,6,11.4,Bachelor,Medium,No,No,Yes,5.6,3.9,76.33,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
36,Chongtham Robindro,,,,Male,21,84.66,4.7,61.18,58.08,1.6,No,4,19.5,High School,Low,Yes,No,No,1.3,3.7,79.55,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
37,Khumanthem Tombi,,,,Female,20,92.31,11.0,35.9,96.35,5.1,No,3,5.5,Bachelor,Low,Yes,Yes,Yes,1.6,1.9,100.96,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
38,Wahengbam Rojit,,,,Male,15,66.02,4.9,77.79,57.76,6.5,Yes,3,3.2,Bachelor,Medium,Yes,No,Yes,4.5,8.9,97.63,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
