id,username,password_hash,name,email,phone,role,subject,created_at,is_active,plain_password
ADM001,admin_laishram,a36aef5a11c4073fbe60314fc9df530a9d5f986533594d1f5190742ff9e0e408,Dr. Laishram Ibohal Singh,laishram.ibohal@university.edu,+91-9856001001,admin,,2026-03-26 00:33:49,1,Admin@2026
ADM002,admin_thounaojam,a36aef5a11c4073fbe60314fc9df530a9d5f986533594d1f5190742ff9e0e408,Dr. Thounaojam Bimola Devi,thounaojam.bimola@university.edu,+91-9856001002,admin,,2026-03-26 00:33:49,1,Admin@2026
TCH001,teacher_ningthoujam,6e6d982c12d79e4d5c5eebd83b942c4d4275e9ca4e60d1afa0ee2ffc07ddfddc,Mr. Ningthoujam Ranjit Singh,ningthoujam.ranjit@university.edu,+91-9856002001,teacher,Mathematics,2026-03-26 00:33:49,1,Teach@2026
TCH002,teacher_konthoujam,6e6d982c12d79e4d5c5eebd83b942c4d4275e9ca4e60d1afa0ee2ffc07ddfddc,Ms. Konthoujam Sanatombi Devi,konthoujam.sanatombi@university.edu,+91-9856002002,teacher,Science,2026-03-26 00:33:49,1,Teach@2026
TCH003,teacher_oinam,6e6d982c12d79e4d5c5eebd83b942c4d4275e9ca4e60d1afa0ee2ffc07ddfddc,Mr. Oinam Tomba Meitei,oinam.tomba@university.edu,+91-9856002003,teacher,English,2026-03-26 00:33:49,1,Teach@2026
TCH004,teacher_wangkhem,6e6d982c12d79e4d5c5eebd83b942c4d4275e9ca4e60d1afa0ee2ffc07ddfddc,Ms. Wangkhem Thoibi Devi,wangkhem.thoibi@university.edu,+91-9856002004,teacher,History,2026-03-26 00:33:49,1,Teach@2026
CSL001,counselor_pukhrambam,8ed7716ffbae48b5bcf9ca8c0e6d14c629151fd90be33b1fe527acc548cdc62d,Ms. Pukhrambam Ibemhal Devi,pukhrambam.ibemhal@university.edu,+91-9856003001,counselor,,2026-03-26 00:33:49,1,Counsel@2026
CSL002,counselor_yumnam,8ed7716ffbae48b5bcf9ca8c0e6d14c629151fd90be33b1fe527acc548cdc62d,Mr. Yumnam Sanjoy Singh,yumnam.sanjoy@university.edu,+91-9856003002,counselor,,2026-03-26 00:33:49,1,Counsel@2026
PAR0001,parent_thangjam_1,fb199910c0ee21124dd0ca4185476823fd908f10e1c3134d896aaa48b3764cd8,Mr. Thangjam Ibohal,thangjam.ibohal0@gmail.com,+91-9800000000,parent,,2026-03-27 08:36:26,1,par1@2026
PAR0002,parent_thangjam_2,7c874a9d435bbcd13a17d88c9fcf5bb088a1fb73493388ea6bbfd035a2260818,Mrs. Thangjam Thoibi,thangjam.thoibi1@gmail.com,+91-9800000001,parent,,2026-03-27 08:36:26,1,par2@2026
PAR0003,parent_laishram_3,58041a2cbb9ac07bdd01ac4a4a584950472d87bc022392bac79297b747326d5d,Mr. Laishram Tomba,laishram.tomba2@gmail.com,+91-9800000002,parent,,2026-03-27 08:36:26,1,par3@2026
PAR0004,parent_oinam_4,b6811f783190d175f53ae95140ee6b543307932a80507b67e5cb6c3f1e6a03a9,Mr. Oinam Sanjoy,oinam.sanjoy3@gmail.com,+91-9800000003,parent,,2026-03-27 08:36:26,1,par4@2026
PAR0005,parent_konsam_5,71c2f82ff8ce7faee8f839690c40dad5087a6326733da6901b260d39eeae32d1,Mr. Konsam Romen,konsam.romen4@gmail.com,+91-9800000004,parent,,2026-03-27 08:36:26,1,par5@2026
PAR0006,parent_laishram_6,1d8e3b1a108cd2be9a8c7366cf2fabc58bde84ac130be4db451464dae07b2adb,Mrs. Laishram Sanatombi,laishram.sanatombi5@gmail.com,+91-9800000005,parent,,2026-03-27 08:36:26,1,par6@2026
PAR0007,parent_yumnam_7,045c1f6718f8575cc7308b1843cc2bfbf8e26abe7fadf464ea9329e07e9494ca,Mr. Yumnam Biren,yumnam.biren6@gmail.com,+91-9800000006,parent,,2026-03-27 08:36:26,1,par7@2026
PAR0008,parent_ningthoujam_8,5fd4715ecee848d78481c076050c7a284c7ed4cc5cf8cbeaf38abbd98dfd2b20,Mr. Ningthoujam Rajen,ningthoujam.rajen7@gmail.com,+91-9800000007,parent,,2026-03-27 08:36:26,1,par8@2026
PAR0009,parent_sorokhaibam_9,d44992f33616ff3bbcd0256df28e060a374a6795378e1bc79ffa63b32889e593,Mr. Sorokhaibam Ibotombi,sorokhaibam.ibotombi8@gmail.com,+91-9800000008,parent,,2026-03-27 08:36:26,1,par9@2026
PAR0010,parent_oinam_10,9c648631dbb1fba7b537424e8f73072383c3a272486f67ce22d03916a5f0a9bf,Mrs. Oinam Ibemhal,oinam.ibemhal9@gmail.com,+91-9800000009,parent,,2026-03-27 08:36:26,1,par10@2026
PAR0011,parent_thounaojam_11,cc6fdcdbbb8de3e12b56a15ed863b6bb29aabb2d97c778711ce256caedf0fe34,Mr. Thounaojam Dinesh,thounaojam.dinesh10@gmail.com,+91-9800000010,parent,,2026-03-27 08:36:26,1,par11@2026
PAR0012,parent_wangkhem_12,c1b44d50ce0a1e95cdd593b9d4258d93a380234b28d255a7c8b894a54ab2145f,Mr. Wangkhem Sanjit,wangkhem.sanjit11@gmail.com,+91-9800000011,parent,,2026-03-27 08:36:26,1,par12@2026
PAR0013,parent_pukhrambam_13,8e480378dfc95f36eb44576e67ecbcaf1ee446ad8a40ef3a508f52b48da6e842,Mr. Pukhrambam Nimai,pukhrambam.nimai12@gmail.com,+91-9800000012,parent,,2026-03-27 08:36:26,1,par13@2026
PAR0014,parent_heisnam_14,d643fff554b8e0fb5183e65112db5a49c6487b4413b53ca2d2c03234e3a14a2c,Mr. Heisnam Robindro,heisnam.robindro13@gmail.com,+91-9800000013,parent,,2026-03-27 08:36:26,1,par14@2026
PAR0015,parent_konsam_15,19bd7a34fb026db5759dd9e4125aebbcfdfc576f149083b0dad7e18755e85dc2,Mrs. Konsam Tombi,konsam.tombi14@gmail.com,+91-9800000014,parent,,2026-03-27 08:36:26,1,par15@2026
PAR0016,parent_lourembam_16,458728a41c37b864b2086e28fc912a97a5c2603301217d970ff70cdfc20c1cf5,Mr. Lourembam Suresh,lourembam.suresh15@gmail.com,+91-9800000015,parent,,2026-03-27 08:36:26,1,par16@2026
PAR0017,parent_yumnam_17,9ec9f25e2a8a72aa3cc8254ac3fccbb870abcbdfd20305d52234e0eb832dc937,Mrs. Yumnam Bembem,yumnam.bembem16@gmail.com,+91-9800000016,parent,,2026-03-27 08:36:26,1,par17@2026
PAR0018,parent_ningthoujam_18,f104cb5086357741eedc3b51767049916833f2d892968d927fa37577f80f9b7e,Mrs. Ningthoujam Sanalembi,ningthoujam.sanalembi17@gmail.com,+91-9800000017,parent,,2026-03-27 08:36:26,1,par18@2026
PAR0019,parent_sorokhaibam_19,f63652b55616e142f28ff578df801ffd4aadabb0af5054a148f6dff84318327c,Mrs. Sorokhaibam Memchoubi,sorokhaibam.memchoubi18@gmail.com,+91-9800000018,parent,,2026-03-27 08:36:26,1,par19@2026
PAR0020,parent_kshetrimayum_20,d07470872e1be89e2b47f3112c36aacaaebf40098950db34cddd3853451298cf,Mr. Kshetrimayum Ibomcha,kshetrimayum.ibomcha19@gmail.com,+91-9800000019,parent,,2026-03-27 08:36:26,1,par20@2026
